RepoName;TravisFullPath;TravisFileGitURL
DrSleep/DenseTorch;D:/PhD Work/repos/applied/DrSleep/DenseTorch/.travis.yml;https://github.com/DrSleep/DenseTorch/blob/master/.travis.yml
proycon/foliatools;D:/PhD Work/repos/applied/proycon/foliatools/.travis.yml;https://github.com/proycon/foliatools/blob/master/.travis.yml
rivolli/mfe;D:/PhD Work/repos/applied/rivolli/mfe/.travis.yml;https://github.com/rivolli/mfe/blob/master/.travis.yml
SimGus/Chatette;D:/PhD Work/repos/applied/SimGus/Chatette/.travis.yml;https://github.com/SimGus/Chatette/blob/master/.travis.yml
mkearney/textfeatures;D:/PhD Work/repos/applied/mkearney/textfeatures/.travis.yml;https://github.com/mkearney/textfeatures/blob/master/.travis.yml
Mogeng/IOHMM;D:/PhD Work/repos/applied/Mogeng/IOHMM/.travis.yml;https://github.com/Mogeng/IOHMM/blob/master/.travis.yml
amoussawi/recoder;D:/PhD Work/repos/applied/amoussawi/recoder/.travis.yml;https://github.com/amoussawi/recoder/blob/master/.travis.yml
UGentBiomath/wwdata;D:/PhD Work/repos/applied/UGentBiomath/wwdata/.travis.yml;https://github.com/UGentBiomath/wwdata/blob/master/.travis.yml
skggm/skggm;D:/PhD Work/repos/applied/skggm/skggm/.travis.yml;https://github.com/skggm/skggm/blob/master/.travis.yml
PrincetonUniversity/ASPIRE-Python;D:/PhD Work/repos/applied/PrincetonUniversity/ASPIRE-Python/.travis.yml;https://github.com/PrincetonUniversity/ASPIRE-Python/blob/master/.travis.yml
anrputina/outlierdenstream;D:/PhD Work/repos/applied/anrputina/outlierdenstream/.travis.yml;https://github.com/anrputina/outlierdenstream/blob/master/.travis.yml
IBM/MAX-ResNet-50;D:/PhD Work/repos/applied/IBM/MAX-ResNet-50/.travis.yml;https://github.com/IBM/MAX-ResNet-50/blob/master/.travis.yml
IBM/MAX-Image-Caption-Generator;D:/PhD Work/repos/applied/IBM/MAX-Image-Caption-Generator/.travis.yml;https://github.com/IBM/MAX-Image-Caption-Generator/blob/master/.travis.yml
ralfbiedert/ffsvm-rust;D:/PhD Work/repos/applied/ralfbiedert/ffsvm-rust/.travis.yml;https://github.com/ralfbiedert/ffsvm-rust/blob/master/.travis.yml
winkjs/wink-naive-bayes-text-classifier;D:/PhD Work/repos/applied/winkjs/wink-naive-bayes-text-classifier/.travis.yml;https://github.com/winkjs/wink-naive-bayes-text-classifier/blob/master/.travis.yml
drivenbyentropy/aptasuite;D:/PhD Work/repos/applied/drivenbyentropy/aptasuite/.travis.yml;https://github.com/drivenbyentropy/aptasuite/blob/master/.travis.yml
amosbastian/understat;D:/PhD Work/repos/applied/amosbastian/understat/.travis.yml;https://github.com/amosbastian/understat/blob/master/.travis.yml
gchers/random-world;D:/PhD Work/repos/applied/gchers/random-world/.travis.yml;https://github.com/gchers/random-world/blob/master/.travis.yml
