name,num
echo testing,"[6.653506320711017, 0.0005552168172145479, 0.0036941386027020476]"
allbranches true,"[6.775203644186089, 0.0005451219659924652, 0.0036933123305180355]"
true allbranches,"[6.775203644186089, 0.0005451219659924652, 0.0036933123305180355]"
master notifications,"[6.623888035819512, 0.0005572357874589645, 0.003691067465679899]"
sudo addaptrepository,"[5.607194148722307, 0.0006581842996797913, 0.0036905671539454155]"
linuxdist xenial,"[8.336748339012662, 0.0004421544835272218, 0.0036861306561325673]"
tar xf,"[9.91232437174374, 0.000371490524972643, 0.0036823345845582054]"
export cxx,"[4.413809862707549, 0.0008338347109440301, 0.0036803878710326577]"
releasetarball to,"[6.349042766435538, 0.0005774254899031298, 0.0036660991298249628]"
shogun onsuccess,"[9.63486056791362, 0.0003795664059503091, 0.0036570693975953267]"
allcoverageinfo codecov,"[9.591519433815318, 0.0003795664059503091, 0.003640618559095824]"
thenn docker,"[4.711173685807747, 0.0007692276631227009, 0.003623965124899055]"
pull shogunshogundev,"[9.534244628463568, 0.0003795664059503091, 0.0036188789670769566]"
zmq zmq,"[8.137767094201074, 0.00044417345377163834, 0.0036145801162204803]"
template it,"[9.519068810386411, 0.0003795664059503091, 0.003613118736352054]"
hometravisccache cache,"[8.157228973471994, 0.0004421544835272218, 0.0036067553637787993]"
cxx cxxcompile,"[7.02616521771931, 0.0005128184420818006, 0.0036031471007601516]"
disableopenmp os,"[5.984811552680906, 0.0005996341625917117, 0.003588697463661017]"
outputfile allcoverageinfo,"[9.43816865690852, 0.0003795664059503091, 0.0035824117558556226]"
rootccache v,"[9.40224908265358, 0.0003795664059503091, 0.0035687778921524096]"
path fi,"[3.6647273647908243, 0.0009731436578087712, 0.0035663061926444416]"
packagelock false,"[7.989430545679731, 0.00044619242401605484, 0.003564823381684751]"
caused in,"[9.36912701247887, 0.0003795664059503091, 0.0035562058670185613]"
optshogun shogunshogundev,"[9.363360069259983, 0.0003795664059503091, 0.003554016929107649]"
install popd,"[5.100795018497429, 0.000694525764079289, 0.003542633557633758]"
pwd optshogun,"[9.295897101481245, 0.0003795664059503091, 0.003528410252893132]"
matrix exclude,"[7.69717110006167, 0.00045830624548255406, 0.0035276615877060844]"
checkrequirements n,"[6.100765381511909, 0.0005774254899031298, 0.0035227374392035687]"
n checkrequirements,"[6.100765381511909, 0.0005774254899031298, 0.0035227374392035687]"
n withbinaryllvm,"[6.100765381511909, 0.0005774254899031298, 0.0035227374392035687]"
n withclangurlhttp,"[6.100765381511909, 0.0005774254899031298, 0.0035227374392035687]"
n withclingurlhttps,"[6.100765381511909, 0.0005774254899031298, 0.0035227374392035687]"
