ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
yxonic/fret,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
arthurpaulino/miraiml,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
fukatani/stacked_generalization,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
CrowdTruth/CrowdTruth-core,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
cltk/cltk,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kermitt2/delft,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
tensorflow/cleverhans,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ecohealthalliance/EpiTator,Tool,2017-07-19,2018-07-20,453,1089,215,8
Jopepato/SMiLE,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
rsokl/MyGrad,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
chakki-works/seqeval,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
alan-turing-institute/skpro,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
NIHOPA/NLPre,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
biolab/orange3-educational,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ClarityNLP/ClarityNLP,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn/scikit-learn,Tool,2017-08-11,2018-08-12,24384,2067,6277,1529
nielstron/quantulum3,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
chainer/chainer,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
vzhou842/profanity-check,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
pytorch/vision,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raamana/neuropredict,Tool,2016-11-29,2017-11-30,301,1067,130,60
nlgranger/SeqTools,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
google/uis-rnn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
antoinecarme/pyaf,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Rostlab/nalaf,Tool,2017-02-28,2018-03-01,262,1700,3,0
gosha20777/keras2cpp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
SekouD/mlconjug,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
datamade/usaddress,Tool,2016-03-07,2017-03-08,70,1225,51,2
scikit-multiflow/scikit-multiflow,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kundajelab/dragonn,Tool,2017-06-12,2018-06-13,378,1533,118,18
MaxHalford/prince,Tool,2017-08-06,2018-08-07,211,1634,44,6
explosion/spaCy,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
RasaHQ/rasa_core,Tool,2017-05-04,2018-05-05,293,16,385,17
inspirehep/magpie,Tool,2016-10-08,2017-10-09,179,1318,38,26
