ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
chainer/chainer,Tool,2020-06-10,2021-06-11,1276,612,75,24,13,0,22
vzhou842/profanity-check,Tool,2020-05-14,2021-05-15,58,867,15,3,3,0,8
raamana/neuropredict,Tool,2019-07-14,2020-07-14,301,1067,106,83,0,0,22
nlgranger/SeqTools,Tool,2019-12-10,2020-12-10,187,1265,41,11,2,12,15
google/uis-rnn,Tool,2019-08-29,2020-08-29,102,612,41,13,1,0,22
antoinecarme/pyaf,Tool,2020-06-15,2021-06-16,372,319,219,8,20,4,186
Rostlab/nalaf,Tool,2020-06-02,2021-06-03,262,1700,10,6,1,0,1
gosha20777/keras2cpp,Tool,2020-05-17,2021-05-18,57,836,2,0,1,0,0
datamade/usaddress,Tool,2019-02-08,2020-02-09,70,1225,10,0,4,0,5
kundajelab/dragonn,Tool,2019-10-10,2020-10-10,378,1533,14,0,13,0,0
MaxHalford/prince,Tool,2020-04-15,2021-04-16,211,1634,13,1,1,0,10
explosion/spaCy,Tool,2020-03-04,2021-03-05,3,0,0,0,0,0,0
RasaHQ/rasa_core,Tool,2017-05-04,2018-05-05,293,16,293,130,11,9,102
inspirehep/magpie,Tool,2019-04-09,2020-04-09,179,1318,35,2,9,0,22
goulu/Goulib,Tool,2019-09-02,2020-09-02,215,1464,37,12,9,0,15
fastnlp/fastNLP,Tool,2020-06-12,2021-06-13,97,272,97,26,2,0,68
feedly/transfer-nlp,Tool,2019-05-29,2020-05-29,441,401,209,15,3,0,190
scikit-learn-contrib/hdbscan,Tool,2020-04-07,2021-04-08,508,1692,75,4,49,0,22
bhargavvader/pycobra,Tool,2019-05-19,2020-05-19,191,1045,16,0,0,0,13
gunthercox/ChatterBot,Tool,2020-06-03,2021-06-04,743,972,69,41,0,0,26
vertexclique/orkhon,Tool,2019-11-18,2020-11-18,30,540,17,0,11,0,0
jfilter/text-classification-keras,Tool,2019-06-25,2020-06-25,162,736,2,0,1,0,0
openopt/copt,Tool,2020-05-26,2021-05-27,943,1662,198,29,12,0,127
