file_name,FailureClassedAsError,ScriptError,BuildDepError,TravisError,TimeExceeded,NotPythonLang,LogNotFound,NoFailDetected
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440129858.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440199755.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440199756.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440200064.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440203609.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440203611.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440204954.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440215539.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440215540.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\440500818.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
