ProjectName,Build Tools,CI tools,Deployment Automation,Monitoring and Logging,Analyzer,Test
mrdimosthenis/emel,0,0,0,0,0,0
mwydmuch/ViZDoom,1,1,1,0,1,0
mz24cn/clnet,1,0,0,0,0,0
mzed/ofxRapidLib,1,0,0,0,0,0
nanxstats/enpls,0,1,0,0,0,0
nanxstats/protr,0,1,0,0,0,0
naver/claf,1,1,1,0,1,0
neptune-ml/neptune-client,1,1,0,0,1,0
neuronets/nobrainer,1,1,0,0,0,1
nickgillian/grt,1,1,0,0,0,1
nicklhy/DLInfBench,0,0,0,0,0,0
nielstron/quantulum3,0,1,0,0,1,0
niessner/mLib,1,0,0,0,0,0
nilearn/nilearn,1,1,0,0,1,1
nlgranger/SeqTools,1,1,0,0,0,0
nokitjs/nokit,0,1,0,0,0,0
northwesternmutual/ai-challenge,0,1,1,0,1,0
nschaetti/EchoTorch,1,1,0,0,0,0
nyu-mll/jiant,0,0,0,0,1,1
obokaman-com/stock-forecast,1,0,0,0,0,0
ocraft/ocraft-s2client,1,0,0,0,0,1
olami-developers/olami-android-client-sdk,1,0,0,0,0,0
olegtarasov/FastText.NetWrapper,0,0,0,0,0,0
omimo/PyMO,0,0,0,0,0,0
onnx/onnx,1,0,0,0,1,1
onnx/onnx-caffe2,1,1,0,0,0,0
onnx/onnx-tensorflow,1,1,0,0,0,0
onnx/tensorflow-onnx,1,0,0,0,1,0
openAGI/tefla,1,1,0,0,1,0
opencv/dldt,1,1,1,0,1,1
opencv/opencv,1,0,1,0,1,0
openeventdata/mordecai,1,1,0,0,0,0
openml/OpenML,1,1,0,0,0,0
openml/automlbenchmark,0,1,0,0,0,0
openml/openml-python,1,1,0,0,0,1
openml/openml-r,0,1,0,0,1,1
openml/openml-tutorial,0,1,0,0,0,0
openopt/copt,1,1,0,0,1,0
openvenues/libpostal,0,1,0,0,0,1
oracle/Skater,1,1,0,0,0,0
ottogroup/palladium,1,1,1,0,1,1
owulveryck/onnx-go,1,1,0,0,0,0
p-morais/deep-rl,0,0,0,0,0,0
patrickschur/language-detection,0,1,0,0,0,0
patrickschur/stanford-nlp-tagger,0,0,0,0,0,0
patrikhuber/eos,0,1,0,0,1,0
pedrodbs/Aglomera,0,0,0,0,0,1
pemistahl/lingua,0,0,0,0,0,0
perone/medicaltorch,1,0,0,0,0,0
peterbozso/ULIS.NET,0,0,0,0,0,0
pfjaeger/medicaldetectiontoolkit,0,0,0,0,0,0
pfnet-research/chainer-chemistry,1,1,1,0,1,1
pfnet-research/menoh,1,1,0,0,1,0
